cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,18.17,1.95,58.84,34%,0,15525,25303,0,0,0,0,0,0
2,2,18.18,1.98,53.42,37%,0,13813,24731,0,0,0,0,0,0
4,4,19.02,2.02,63.52,33%,0,14821,28895,0,0,0,0,0,0
8,8,20.70,2.25,93.21,24%,0,16294,37798,0,0,0,0,0,0
16,16,23.85,2.60,158.52,16%,0,18231,59330,0,0,0,0,0,0
32,32,30.31,3.22,273.46,12%,0,23042,95420,0,0,0,0,0,0
64,64,35.97,4.33,484.15,8%,0,28205,163692,0,0,0,0,0,0
128,128,44.87,5.84,643.36,7%,0,33481,246360,0,0,0,0,0,0
256,256,
